2934,5599,53183,56836,10000,71143
3366,28093,18799,19938,38800,44954
2958,29718,26205,29047,56400,59832
2948,24334,31224,34808,68000,71967
2955,18208,33043,36573,58000,71845
2976,15058,34578,37863,52500,63756
2967,13983,34775,37724,51000,57802
2944,14082,34657,37260,52800,56713
2944,14049,35468,37768,55100,58197
2343,13414,36396,39654,58000,61961
2951,13615,34972,40930,58900,64968
2956,14198,32370,34928,46900,57185
2934,28158,24653,27222,46000,50090
3947,30286,30423,34136,55200,57644
2943,23502,39924,43255,65000,67667
2951,17959,41754,45184,67500,71301
2951,13856,43955,47034,60100,69873
16188,32774,18391,19708,24200,31959
9757,27769,19809,21228,29300,32404
9570,28838,23151,25107,35000,37048
2963,20804,26412,28139,42000,44431
2943,15774,28871,30719,45000,48951
2950,12822,29060,31156,35000,44929
2965,14723,24563,26085,35000,38569
